iter	Passed	Remaining
174	35987	580938
175	36183	580579
176	36384	580305
177	36583	579986
178	36783	579706
179	36975	579286
180	37186	579161
181	37383	578825
182	37586	578578
183	37786	578296
184	37987	578026
185	38191	577794
186	38381	577361
187	38588	577182
188	38795	577007
189	39001	576804
190	39194	576424
191	39390	576083
192	39605	576027
193	39794	575585
194	40007	575489
195	40213	575305
196	40412	575012
197	40608	574670
198	40810	574429
199	41014	574196
200	41224	574067
201	41434	573936
202	41640	573730
203	41831	573333
204	42019	572906
205	42217	572603
206	42404	572157
207	42606	571913
208	42799	571547
209	42995	571223
210	43203	571060
211	43405	570823
212	43591	570368
213	43793	570139
214	43996	569909
215	44202	569715
216	44394	569358
217	44583	568955
218	44811	569041
219	45032	569048
220	45237	568849
221	45460	568874
222	45651	568490
223	45842	568123
224	46052	567977
225	46246	567649
226	46447	567397
227	46650	567166
228	46849	566905
229	47042	566549
230	47243	566303
231	47442	566038
232	47635	565699
233	47841	565515
234	48035	565180
235	48233	564904
236	48424	564548
237	48617	564210
238	48807	563836
239	49004	563555
240	49209	563351
241	49403	563038
242	49604	562795
243	49797	562470
244	49999	562236
245	50199	561992
246	50387	561611
247	50597	561467
248	50796	561206
249	51004	561044
250	51203	560787
251	51394	560440
252	51579	560040
253	51778	559773
254	51956	559301
255	52159	559089
256	52368	558932
257	52570	558710
258	52765	558413
259	52976	558292
260	53196	558256
261	53410	558163
262	53616	557973
263	53819	557761
264	54032	557660
265	54237	557466
266	54435	557196
267	54623	556829
268	54809	556444
269	55010	556221
270	55238	556254
271	55450	556133
272	55645	555839
273	55847	555621
274	56047	555376
275	56247	555134
276	56458	555003
277	56648	554668
278	56854	554481
279	57055	554249
280	57267	554124
281	57473	553942
282	57679	553765
283	57881	553544
284	58079	553284
285	58307	553307
286	58503	553035
287	58700	552763
288	58901	552530
289	59086	552156
290	59289	551940
291	59527	552059
292	59732	551867
293	59932	551627
294	60139	551450
295	60332	551143
296	60535	550934
297	60722	550575
298	60915	550272
299	61103	549934
300	61307	549728
301	61500	549435
302	61681	549030
303	61910	549047
304	62088	548621
305	62302	548502
306	62505	548294
307	62712	548121
308	62937	548106
309	63142	547911
310	63354	547778
311	63543	547453
312	63754	547314
313	63958	547106
314	64161	546903
315	64363	546678
316	64563	546446
317	64769	546264
318	64968	546020
319	65163	545742
320	65369	545557
321	65574	545367
322	65775	545143
323	65964	544815
324	66161	544556
325	66368	544383
326	66581	544257
327	66785	544056
328	66978	543765
329	67168	543456
330	67379	543307
331	67582	543102
332	67771	542784
333	67967	542517
334	68158	542213
335	68362	542013
336	68565	541813
337	68773	541643
338	68966	541355
339	69161	541090
340	69351	540776
341	69546	540509
342	69738	540216
343	69932	539941
344	70120	539626
345	70358	539688
346	70552	539409
347	70744	539123
348	70942	538878
349	71149	538702
350	71379	538702
351	71565	538369
352	71762	538113
353	71952	537813
354	72134	537455
355	72322	537139
356	72516	536863
357	72706	536569
358	72899	536290
359	73080	535924
360	73274	535657
361	73466	535375
362	73655	535069
363	73852	534824
364	74038	534494
365	74219	534137
366	74414	533879
367	74609	533616
368	74784	533220
369	74972	532910
370	75164	532637
371	75366	532425
372	75548	532078
373	75736	531772
374	75925	531476
375	76110	531151
376	76300	530868
377	76492	530591
378	76693	530378
379	76875	530034
380	77065	529749
381	77245	529392
382	77441	529149
383	77632	528869
384	77813	528524
385	78022	528368
386	78210	528073
387	78414	527883
388	78610	527639
389	78806	527398
390	78999	527133
391	79210	526989
392	79402	526721
393	79635	526725
394	79832	526487
395	80015	526164
396	80206	525888
397	80403	525650
398	80588	525339
399	80762	524959
400	80952	524676
401	81149	524446
402	81348	524223
403	81543	523978
404	81721	523623
405	81916	523377
406	82111	523129
407	82297	522832
408	82486	522546
409	82676	522275
410	82871	522028
411	83056	521725
412	83249	521467
413	83443	521217
414	83675	521208
415	83867	520945
416	84090	520877
417	84299	520721
418	84494	520481
419	84692	520254
420	84944	520358
421	85150	520186
422	85365	520063
423	85556	519797
424	85759	519599
425	85960	519396
426	86185	519330
427	86388	519141
428	86590	518935
429	86790	518723
430	86981	518457
431	87177	518222
432	87378	518014
433	87585	517846
434	87795	517689
435	87996	517483
436	88190	517235
437	88385	516994
438	88585	516782
439	88780	516543
440	88975	516301
441	89180	516119
442	89417	516116
443	89625	515951
444	89819	515708
445	90014	515463
446	90206	515204
447	90411	515024
448	90602	514761
449	90786	514459
450	90965	514125
451	91168	513931
452	91372	513742
453	91566	513500
454	91762	513265
455	91968	513088
456	92156	512812
457	92353	512584
458	92552	512364
459	92752	512154
460	92953	511948
461	93143	511685
462	93348	511498
463	93549	511298
464	93750	511093
465	93973	511008
466	94167	510764
467	94367	510554
468	94568	510348
469	94770	510149
470	94975	509965
471	95179	509774
472	95397	509658
473	95615	509545
474	95832	509426
475	96029	509196
476	96225	508964
477	96422	508739
478	96613	508479
479	96806	508231
480	97002	508000
481	97199	507778
482	97397	507553
483	97580	507259
484	97775	507022
485	97982	506845
486	98177	506610
487	98371	506369
488	98567	506143
489	98758	505887
490	98944	505603
491	99144	505393
492	99339	505159
493	99538	504944
494	99711	504598
495	99937	504524
496	100128	504269
497	100327	504053
498	100528	503850
499	100719	503595
500	100912	503356
501	101094	503053
502	101286	502808
503	101495	502646
504	101693	502428
505	101900	502252
506	102106	502074
507	102313	501900
508	102496	501609
509	102708	501461
510	102901	501214
511	103097	500989
512	103294	500765
513	103488	500530
514	103693	500345
515	103886	500106
516	104085	499893
517	104281	499663
518	104489	499493
519	104698	499329
520	104898	499123
521	105098	498914
522	105335	498885
523	105589	498929
524	105812	498829
525	106046	498779
526	106255	498615
527	106472	498485
528	106683	498327
529	106899	498192
530	107093	497954
531	107299	497770
532	107541	497756
533	107751	497595
534	107956	497405
535	108137	497109
536	108333	496881
537	108537	496691
538	108740	496495
539	108942	496295
540	109133	496043
541	109341	495869
542	109543	495667
543	109756	495519
544	109945	495261
545	110140	495026
546	110346	494842
547	110548	494643
548	110762	494496
549	110987	494399
550	111185	494180
551	111385	493972
552	111591	493785
553	111796	493599
554	111988	493352
555	112185	493130
556	112391	492948
557	112575	492670
558	112771	492442
559	112967	492215
560	113158	491967
561	113362	491777
562	113575	491622
563	113771	491394
564	113972	491190
565	114158	490923
566	114364	490738
567	114583	490609
568	114793	490446
569	115001	490270
570	115201	490061
571	115404	489861
572	115623	489735
573	115819	489508
574	116015	489283
575	116207	489040
576	116412	488853
577	116608	488623
578	116811	488429
579	117015	488238
580	117195	487942
581	117372	487640
582	117567	487409
583	117770	487216
584	117967	486992
585	118160	486756
586	118355	486527
587	118558	486330
588	118762	486141
589	118976	485990
590	119179	485792
591	119381	485592
592	119586	485403
593	119777	485157
594	119982	484970
595	120178	484747
596	120375	484526
597	120577	484326
598	120768	484083
599	120966	483864
600	121159	483629
601	121362	483432
602	121551	483182
603	121760	483009
604	121959	482799
605	122166	482616
606	122346	482329
607	122545	482120
608	122733	481865
609	122939	481679
610	123138	481468
611	123330	481231
612	123530	481021
613	123725	480797
614	123915	480550
615	124108	480317
616	124313	480126
617	124518	479940
618	124740	479817
619	124954	479663
620	125168	479510
621	125413	479473
622	125621	479297
623	125838	479153
624	126047	478982
625	126267	478846
626	126491	478730
627	126711	478597
628	126919	478420
629	127116	478200
630	127327	478033
631	127528	477827
632	127727	477616
633	127923	477392
634	128127	477201
635	128342	477045
636	128565	476922
637	128776	476755
638	128987	476586
639	129173	476327
640	129374	476122
641	129580	475935
642	129781	475729
643	129980	475520
644	130174	475287
645	130404	475188
646	130615	475019
647	130815	474810
648	131019	474616
649	131201	474342
650	131397	474122
651	131605	473941
652	131813	473760
653	132016	473562
654	132220	473368
655	132427	473185
656	132625	472970
657	132816	472728
658	133027	472561
659	133222	472333
660	133434	472167
661	133631	471950
662	133819	471699
663	134013	471469
664	134197	471204
665	134401	471011
666	134600	470798
667	134801	470594
668	134999	470379
669	135202	470182
670	135396	469951
671	135603	469767
672	135788	469510
673	135986	469295
674	136177	469057
675	136403	468937
676	136612	468760
677	136824	468592
678	137034	468420
679	137218	468158
680	137437	468012
681	137652	467856
682	137865	467694
683	138092	467576
684	138299	467391
685	138511	467223
686	138733	467089
687	138937	466896
688	139136	466684
689	139342	466495
690	139588	466438
691	139787	466226
692	139950	465896
693	140149	465683
694	140338	465440
695	140550	465270
696	140747	465050
697	140934	464801
698	141102	464486
699	141309	464303
700	141511	464102
701	141689	463821
702	141890	463617
703	142095	463424
704	142300	463235
705	142509	463056
706	142718	462877
707	142914	462653
708	143101	462404
709	143303	462203
710	143508	462012
711	143719	461841
712	143929	461664
713	144099	461362
714	144283	461101
715	144487	460906
716	144662	460620
717	144883	460480
718	145074	460242
719	145281	460057
720	145487	459870
721	145688	459666
722	145889	459461
723	146076	459212
724	146310	459110
725	146528	458962
726	146748	458814
727	146950	458614
728	147147	458396
729	147346	458188
730	147555	458007
731	147737	457742
732	147942	457553
733	148138	457332
734	148327	457090
735	148521	456866
736	148727	456675
737	148935	456493
738	149135	456284
739	149340	456094
740	149543	455895
741	149746	455697
742	149950	455500
743	150152	455300
744	150342	455063
745	150539	454848
746	150734	454625
747	150937	454428
748	151138	454222
749	151345	454035
750	151540	453813
751	151746	453625
752	151937	453392
753	152126	453149
754	152335	452969
755	152536	452767
756	152737	452564
757	152938	452359
758	153148	452180
759	153344	451964
760	153541	451746
761	153744	451549
762	153954	451372
763	154145	451138
764	154320	450858
765	154508	450616
766	154704	450397
767	154939	450292
768	155138	450082
769	155334	449866
770	155550	449704
771	155763	449535
772	155962	449324
773	156156	449100
774	156360	448906
775	156564	448712
776	156773	448528
777	156988	448366
778	157201	448194
779	157416	448032
780	157624	447847
781	157808	447595
782	157992	447344
783	158194	447140
784	158396	446940
785	158584	446698
786	158792	446515
787	158997	446323
788	159205	446137
789	159416	445963
790	159623	445774
791	159799	445500
792	160005	445311
793	160166	444997
794	160362	444779
795	160564	444578
796	160778	444408
797	160975	444195
798	161172	443980
799	161361	443744
800	161559	443531
801	161776	443371
802	161974	443160
803	162172	442949
804	162358	442703
805	162546	442465
806	162738	442236
807	162943	442044
808	163151	441860
809	163353	441658
810	163564	441483
811	163743	441220
812	163919	440950
813	164110	440718
814	164318	440533
815	164498	440274
816	164662	439972
817	164888	439835
818	165093	439645
819	165299	439455
820	165517	439295
821	165755	439192
822	165950	438972
823	166147	438758
824	166348	438554
825	166557	438373
826	166762	438179
827	166965	437982
828	167174	437798
829	167380	437610
830	167588	437424
831	167779	437194
832	167974	436974
833	168171	436760
834	168364	436538
835	168550	436294
836	168739	436062
837	168943	435866
838	169149	435676
839	169356	435488
840	169566	435309
841	169747	435052
842	169921	434780
843	170127	434590
844	170318	434361
845	170547	434231
846	170757	434051
847	170962	433857
848	171159	433643
849	171374	433475
850	171573	433268
851	171778	433076
852	171993	432907
853	172199	432717
854	172386	432479
855	172588	432277
856	172788	432071
857	172996	431885
858	173190	431665
859	173405	431497
860	173606	431294
861	173811	431100
862	174011	430894
863	174215	430699
864	174451	430583
865	174646	430364
866	174849	430165
867	175066	430002
868	175270	429804
869	175469	429598
870	175682	429424
871	175868	429183
872	176068	428976
873	176254	428737
874	176450	428523
875	176673	428372
876	176867	428153
877	177063	427936
878	177238	427669
879	177447	427487
880	177611	427196
881	177832	427041
882	178034	426838
883	178233	426631
884	178423	426402
885	178632	426216
886	178837	426023
887	179040	425825
888	179239	425619
889	179448	425434
890	179649	425232
891	179862	425056
892	180063	424853
893	180259	424639
894	180465	424446
895	180658	424225
896	180860	424023
897	181036	423763
898	181233	423549
899	181403	423275
900	181602	423066
901	181801	422860
902	181992	422634
903	182190	422425
904	182389	422216
905	182635	422118
906	182838	421919
907	183038	421714
908	183233	421497
909	183432	421290
910	183626	421071
911	183826	420866
912	184002	420606
913	184193	420381
914	184394	420177
915	184580	419939
916	184785	419746
917	184960	419486
918	185156	419271
919	185350	419054
920	185532	418808
921	185713	418560
922	185911	418350
923	186111	418146
924	186315	417950
925	186500	417711
926	186704	417516
927	186910	417326
928	187118	417139
929	187327	416955
930	187528	416751
931	187744	416583
932	187923	416331
933	188115	416110
934	188310	415893
935	188508	415686
936	188736	415541
937	188934	415333
938	189132	415125
939	189310	414871
940	189508	414663
941	189715	414474
942	189916	414272
943	190114	414063
944	190312	413854
945	190512	413650
946	190714	413449
947	190923	413264
948	191118	413049
949	191313	412835
950	191537	412682
951	191753	412510
952	191946	412291
953	192140	412073
954	192343	411877
955	192549	411685
956	192751	411485
957	192951	411280
958	193144	411060
959	193344	410856
960	193546	410656
961	193747	410453
962	193935	410225
963	194110	409967
964	194308	409760
965	194506	409551
966	194705	409343
967	194930	409192
968	195122	408970
969	195330	408784
970	195526	408571
971	195725	408366
972	195930	408172
973	196129	407965
974	196336	407774
975	196543	407585
976	196751	407397
977	196943	407177
978	197134	406954
979	197317	406716
980	197516	406509
981	197720	406313
982	197900	406068
983	198052	405766
984	198258	405574
985	198442	405338
986	198634	405117
987	198836	404918
988	199025	404691
989	199208	404454
990	199448	404331
991	199639	404108
992	199836	403900
993	200050	403723
994	200237	403492
995	200390	403195
996	200581	402973
997	200784	402776
998	200984	402571
999	201182	402365
1000	201384	402165
1001	201581	401955
1002	201770	401730
1003	201969	401525
1004	202142	401268
1005	202347	401074
1006	202552	400880
1007	202756	400686
1008	202981	400531
1009	203200	400365
1010	203399	400158
1011	203635	400026
1012	203848	399849
1013	204045	399638
1014	204227	399400
1015	204425	399192
1016	204650	399039
1017	204864	398861
1018	205067	398663
1019	205271	398468
1020	205480	398281
1021	205676	398070
1022	205871	397856
1023	206074	397658
1024	206276	397458
1025	206473	397250
1026	206672	397043
1027	206859	396816
1028	207054	396603
1029	207248	396388
1030	207430	396149
1031	207591	395872
1032	207791	395669
1033	207993	395468
1034	208190	395260
1035	208404	395082
1036	208607	394885
1037	208819	394705
1038	209002	394470
1039	209166	394198
1040	209356	393975
1041	209533	393730
1042	209743	393546
1043	209937	393330
1044	210119	393094
1045	210321	392894
1046	210514	392678
1047	210707	392461
1048	210916	392276
1049	211105	392053
1050	211335	391904
1051	211533	391699
1052	211738	391505
1053	211939	391303
1054	212150	391121
1055	212332	390884
1056	212510	390640
1057	212688	390397
1058	212900	390216
1059	213094	390002
1060	213288	389789
1061	213498	389604
1062	213711	389425
1063	213928	389254
1064	214146	389082
1065	214355	388896
1066	214559	388700
1067	214761	388501
1068	214962	388300
1069	215138	388054
1070	215330	387835
1071	215517	387610
1072	215703	387381
1073	215906	387184
1074	216135	387032
1075	216322	386806
1076	216526	386611
1077	216725	386407
1078	216927	386206
1079	217131	386010
1080	217305	385761
1081	217504	385557
1082	217732	385404
1083	217913	385168
1084	218121	384978
1085	218328	384788
1086	218526	384581
1087	218723	384374
1088	218933	384188
1089	219140	383997
1090	219330	383777
1091	219534	383582
1092	219731	383373
1093	219944	383193
1094	220103	382919
1095	220303	382716
1096	220503	382514
1097	220706	382316
1098	220902	382107
1099	221066	381842
1100	221267	381641
1101	221468	381439
1102	221675	381249
1103	221885	381064
1104	222085	380861
1105	222281	380652
1106	222476	380441
1107	222681	380246
1108	222889	380058
1109	223082	379843
1110	223289	379652
1111	223492	379454
1112	223679	379230
1113	223880	379029
1114	224079	378824
1115	224275	378615
1116	224481	378423
1117	224701	378253
1118	224902	378053
1119	225061	377781
1120	225266	377588
1121	225470	377391
1122	225641	377141
1123	225831	376921
1124	226022	376704
1125	226224	376505
1126	226416	376290
1127	226639	376124
1128	226836	375917
1129	227040	375721
1130	227229	375501
1131	227415	375275
1132	227598	375045
1133	227774	374803
1134	227987	374623
1135	228191	374427
1136	228383	374211
1137	228585	374012
1138	228783	373807
1139	228961	373568
1140	229158	373361
1141	229359	373161
1142	229558	372958
1143	229752	372746
1144	229961	372557
1145	230146	372330
1146	230344	372126
1147	230547	371928
1148	230740	371714
1149	230939	371511
1150	231146	371320
1151	231338	371105
1152	231527	370885
1153	231732	370691
1154	231936	370496
1155	232141	370302
1156	232337	370093
1157	232534	369887
1158	232737	369689
1159	232942	369495
1160	233148	369302
1161	233334	369077
1162	233512	368840
1163	233709	368633
1164	233913	368438
1165	234111	368233
1166	234309	368028
1167	234510	367827
1168	234700	367610
1169	234896	367402
1170	235085	367183
1171	235277	366968
1172	235478	366768
1173	235670	366553
1174	235869	366349
1175	236076	366159
1176	236279	365961
1177	236470	365746
1178	236672	365547
1179	236868	365339
1180	237059	365124
1181	237252	364911
1182	237452	364709
1183	237682	364553
1184	237882	364352
1185	238083	364151
1186	238292	363962
1187	238509	363787
1188	238711	363588
1189	238927	363410
1190	239122	363200
1191	239331	363013
1192	239507	362774
1193	239714	362583
1194	239921	362392
1195	240114	362179
1196	240308	361968
1197	240493	361743
1198	240689	361535
1199	240898	361347
1200	241057	361085
1201	241257	360883
1202	241450	360669
1203	241654	360474
1204	241845	360259
1205	242055	360071
1206	242251	359865
1207	242426	359626
1208	242606	359394
1209	242800	359184
1210	243014	359002
1211	243230	358825
1212	243446	358646
1213	243648	358447
1214	243848	358246
1215	244059	358060
1216	244250	357845
1217	244470	357672
1218	244670	357471
1219	244870	357270
1220	245068	357065
1221	245272	356869
1222	245464	356656
1223	245662	356451
1224	245865	356254
1225	246080	356074
1226	246278	355869
1227	246471	355657
1228	246680	355468
1229	246870	355252
1230	247058	355033
1231	247256	354829
1232	247446	354612
1233	247636	354396
1234	247826	354180
1235	248006	353951
1236	248202	353744
1237	248397	353535
1238	248589	353321
1239	248785	353115
1240	248993	352925
1241	249189	352717
1242	249387	352513
1243	249591	352317
1244	249771	352087
1245	249955	351864
1246	250161	351670
1247	250354	351458
1248	250552	351255
1249	250747	351047
1250	250948	350846
1251	251151	350648
1252	251389	350500
1253	251579	350285
1254	251788	350096
1255	251962	349859
1256	252159	349652
1257	252348	349436
1258	252508	349179
1259	252683	348944
1260	252860	348710
1261	253062	348511
1262	253261	348310
1263	253448	348090
1264	253641	347879
1265	253838	347674
1266	254035	347468
1267	254218	347244
1268	254422	347049
1269	254635	346865
1270	254824	346650
1271	255025	346449
1272	255214	346233
1273	255416	346035
1274	255620	345839
1275	255819	345636
1276	256023	345440
1277	256232	345251
1278	256431	345049
1279	256629	344845
1280	256821	344633
1281	257028	344442
1282	257229	344241
1283	257409	344014
1284	257587	343784
1285	257788	343584
1286	257995	343392
1287	258192	343187
1288	258391	342984
1289	258599	342794
1290	258796	342589
1291	258988	342378
1292	259180	342165
1293	259374	341957
1294	259601	341792
1295	259828	341626
1296	260029	341427
1297	260222	341216
1298	260418	341010
1299	260621	340812
1300	260831	340625
1301	261039	340433
1302	261243	340238
1303	261445	340039
1304	261633	339822
1305	261837	339627
1306	262046	339437
1307	262250	339241
1308	262461	339054
1309	262665	338857
1310	262845	338631
1311	263053	338440
1312	263242	338225
1313	263434	338014
1314	263646	337827
1315	263827	337602
1316	264024	337397
1317	264222	337194
1318	264417	336986
1319	264594	336756
1320	264798	336560
1321	264993	336352
1322	265177	336132
1323	265370	335922
1324	265564	335713
1325	265751	335496
1326	265945	335288
1327	266138	335078
1328	266347	334887
1329	266527	334662
1330	266735	334472
1331	266940	334277
1332	267135	334069
1333	267325	333856
1334	267509	333635
1335	267715	333442
1336	267887	333205
1337	268069	332982
1338	268259	332769
1339	268451	332559
1340	268642	332347
1341	268824	332124
1342	269017	331915
1343	269218	331715
1344	269411	331506
1345	269618	331314
1346	269814	331108
1347	270021	330916
1348	270214	330706
1349	270410	330501
1350	270613	330304
1351	270807	330096
1352	270991	329876
1353	271184	329667
1354	271389	329472
1355	271578	329258
1356	271766	329044
1357	271972	328850
1358	272143	328615
1359	272350	328422
1360	272573	328250
1361	272774	328050
1362	272949	327819
1363	273161	327633
1364	273354	327424
1365	273563	327235
1366	273765	327036
1367	273975	326848
1368	274177	326649
1369	274371	326442
1370	274569	326238
1371	274773	326043
1372	274974	325843
1373	275149	325613
1374	275347	325410
1375	275543	325205
1376	275752	325014
1377	275961	324825
1378	276165	324629
1379	276363	324427
1380	276562	324224
1381	276766	324029
1382	276968	323830
1383	277144	323601
1384	277363	323423
1385	277571	323232
1386	277774	323035
1387	277977	322838
1388	278181	322642
1389	278378	322437
1390	278586	322247
1391	278788	322049
1392	278982	321840
1393	279181	321639
1394	279388	321446
1395	279583	321240
1396	279790	321048
1397	280001	320860
1398	280208	320667
1399	280420	320480
1400	280639	320301
1401	280864	320129
1402	281082	319948
1403	281276	319741
1404	281484	319550
1405	281677	319341
1406	281886	319150
1407	282096	318960
1408	282302	318767
1409	282489	318552
1410	282686	318348
1411	282889	318150
1412	283081	317940
1413	283279	317737
1414	283462	317518
1415	283642	317294
1416	283846	317098
1417	284043	316895
1418	284254	316706
1419	284457	316509
1420	284623	316270
1421	284816	316062
1422	285017	315862
1423	285219	315664
1424	285416	315460
1425	285641	315287
1426	285846	315092
1427	286052	314897
1428	286267	314713
1429	286459	314503
1430	286652	314296
1431	286843	314085
1432	287051	313893
1433	287250	313692
1434	287443	313484
1435	287668	313310
1436	287859	313099
1437	288072	312913
1438	288283	312724
1439	288494	312536
1440	288698	312339
1441	288895	312135
1442	289108	311948
1443	289315	311755
1444	289525	311565
1445	289728	311368
1446	289921	311160
1447	290123	310961
1448	290318	310754
1449	290515	310550
1450	290719	310354
1451	290916	310150
1452	291121	309955
1453	291320	309753
1454	291523	309556
1455	291726	309358
1456	291965	309198
1457	292165	308997
1458	292369	308801
1459	292578	308610
1460	292777	308408
1461	292972	308202
1462	293182	308011
1463	293374	307802
1464	293559	307586
1465	293761	307387
1466	293962	307187
1467	294151	306975
1468	294346	306769
1469	294521	306542
1470	294725	306346
1471	294917	306137
1472	295132	305951
1473	295342	305761
1474	295548	305566
1475	295753	305371
1476	295951	305168
1477	296138	304954
1478	296331	304746
1479	296528	304543
1480	296711	304325
1481	296920	304132
1482	297116	303928
1483	297317	303728
1484	297493	303503
1485	297693	303302
1486	297865	303073
1487	298052	302859
1488	298232	302638
1489	298403	302409
1490	298608	302213
1491	298808	302013
1492	298991	301795
1493	299225	301629
1494	299427	301430
1495	299620	301222
1496	299827	301028
1497	300024	300825
1498	300238	300639
1499	300441	300441
1500	300659	300258
1501	300882	300081
1502	301092	299890
1503	301308	299705
1504	301533	299530
1505	301713	299309
1506	301894	299089
1507	302068	298863
1508	302276	298670
1509	302494	298488
1510	302698	298291
1511	302892	298085
1512	303083	297875
1513	303289	297680
1514	303489	297479
1515	303667	297257
1516	303873	297063
1517	304076	296864
1518	304282	296670
1519	304487	296474
1520	304686	296273
1521	304882	296068
1522	305079	295865
1523	305278	295663
1524	305480	295464
1525	305681	295265
1526	305868	295052
1527	306061	294844
1528	306256	294639
1529	306439	294422
1530	306625	294208
1531	306825	294007
1532	307034	293815
1533	307243	293623
1534	307443	293423
1535	307639	293218
1536	307840	293018
1537	308039	292817
1538	308239	292616
1539	308439	292417
1540	308644	292220
1541	308844	292019
1542	309042	291817
1543	309237	291612
1544	309427	291402
1545	309624	291199
1546	309805	290981
1547	309988	290764
1548	310197	290572
1549	310388	290363
1550	310581	290156
1551	310790	289964
1552	310955	289731
1553	311187	289560
1554	311394	289367
1555	311593	289164
1556	311803	288974
1557	311998	288768
1558	312201	288570
1559	312408	288376
1560	312597	288166
1561	312808	287975
1562	313011	287778
1563	313217	287582
1564	313422	287387
1565	313657	287218
1566	313857	287018
1567	314071	286830
1568	314269	286628
1569	314464	286422
1570	314659	286218
1571	314861	286019
1572	315067	285823
1573	315286	285640
1574	315493	285446
1575	315705	285256
1576	315898	285049
1577	316097	284848
1578	316312	284661
1579	316516	284464
1580	316711	284259
1581	316954	284097
1582	317168	283908
1583	317368	283707
1584	317574	283512
1585	317786	283322
1586	318001	283135
1587	318204	282937
1588	318404	282736
1589	318582	282516
1590	318791	282323
1591	318981	282114
1592	319182	281914
1593	319360	281694
1594	319591	281520
1595	319796	281324
1596	319996	281124
1597	320204	280929
1598	320400	280726
1599	320607	280531
1600	320796	280320
1601	321000	280123
1602	321217	279937
1603	321407	279729
1604	321609	279530
1605	321788	279310
1606	321990	279112
1607	322171	278894
1608	322363	278687
1609	322567	278490
1610	322767	278289
1611	322958	278080
1612	323189	277907
1613	323374	277693
1614	323606	277520
1615	323839	277348
1616	324063	277167
1617	324279	276980
1618	324487	276786
1619	324695	276592
1620	324923	276415
1621	325135	276224
1622	325359	276043
1623	325574	275855
1624	325764	275647
1625	326024	275496
1626	326252	275319
1627	326471	275134
1628	326658	274922
1629	326857	274720
1630	327034	274500
1631	327231	274297
1632	327462	274121
1633	327673	273930
1634	327890	273743
1635	328112	273560
1636	328324	273369
1637	328548	273188
1638	328753	272991
1639	328955	272792
1640	329153	272589
1641	329355	272390
1642	329564	272196
1643	329776	272005
1644	329983	271809
1645	330143	271576
1646	330361	271390
1647	330564	271191
1648	330767	270992
1649	330943	270771
1650	331144	270571
1651	331351	270376
1652	331534	270161
1653	331737	269962
1654	331938	269763
1655	332144	269566
1656	332352	269371
1657	332557	269174
1658	332740	268960
1659	332932	268752
1660	333123	268544
1661	333326	268345
1662	333512	268133
1663	333717	267936
